Title,CELEX number,Initiating document,Initial reference,Adopted acts,Procedure status,ECLI identifier,Subject matter,Transposed legal act(s),Date of document,Author,In force indicator,Publication Reference
Summary of the Judgment,62006CJ0402_INF,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62005CJ0212_SUM,,,,,,,,7/18/2007,Court of Justice,,
Judgment of the Court (Second Chamber) of 18 July 2007. # Criminal proceedings against Jürgen Kretzinger. # Reference for a preliminary ruling: Bundesgerichtshof - Germany. # Convention implementing the Schengen Agreement - Article 54 - Ne bis in idem principle - Notion of ‘same acts’- Contraband cigarettes - Importation into several Contracting States - Prosecution in different Contracting States - Notion of ‘enforcement’ of criminal penalties - Suspension of the execution of the sentence - Setting-off of brief periods of detention pending trial - European arrest warrant. # Case C-288/05.,62005CJ0288,,,,,ECLI:EU:C:2007:441,"Closer cooperation, Justice and home affairs",,7/18/2007,Court of Justice,,European Court Reports 2007 I-06441
Summary of the Judgment,62005CJ0277_SUM,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62004CJ0490_SUM,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62005CJ0119_SUM,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62005CJ0399_INF,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62007CJ0026_INF,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62007CJ0050_INF,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62006CJ0310_SUM,,,,,,,,7/18/2007,Court of Justice,,
Judgment of the Court (Third Chamber) of 18 July 2007. # Commission of the European Communities v Kingdom of Spain. # Failure of a Member State to fulfil obligations - Direct insurance other than life assurance and direct life assurance - Directives 92/49/EEC and 2002/83/EC - Portfolio transfer system - Right to cancel - Admissibility. # Case C-501/04.,62004CJ0501,,,,,ECLI:EU:C:2007:431,"Right of establishment, Freedom to provide services",,7/18/2007,Court of Justice,,European Court Reports 2007 I-00099*
Judgment of the Court (First Chamber) of 18 July 2007. # Commission of the European Communities v Federal Republic of Germany. # Actions for failure to fulfil obligations - Admissibility - Article 49 EC - Freedom to provide services - Posting of workers - Restrictions - Contribution to the national paid leave fund - Translation of documents - Declaration concerning the place of employment of posted workers. # Case C-490/04.,62004CJ0490,,,,,ECLI:EU:C:2007:430,Freedom to provide services,,7/18/2007,Court of Justice,,European Court Reports 2007 I-06095
Summary of the Judgment,62005CJ0367_SUM,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62005CJ0213_SUM,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62005CJ0382_SUM,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62005CJ0134_SUM,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62007CJ0061_INF,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62005CJ0325_SUM,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62006CJ0517_INF,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62005CJ0288_SUM,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62006CJ0182_SUM,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62005CJ0460_INF,,,,,,,,7/18/2007,Court of Justice,,
Judgment of the Court (First Chamber) of 18 July 2007. # European Agency for Reconstruction (EAR) v Georgios Karatzoglou. # Appeals - Temporary staff - Termination of contract. # Case C-213/06 P.,62006CJ0213,,,,,ECLI:EU:C:2007:453,Staff regulations and employment conditions - EC,,7/18/2007,"Court of Justice, Ruiz-Jarabo Colomer",,"European Court Reports – Staff Cases 2007 II-B-2-00143, European Court Reports 2007 I-06733;FP-I-B-2-00015"
Summary of the Judgment,62004CJ0503_SUM,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62005CJ0326_SUM,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62006CJ0155_INF,,,,,,,,7/18/2007,Court of Justice,,
Summary of the Judgment,62006CJ0142_SUM,,,,,,,,7/18/2007,Court of Justice,,
Judgment of the Court (Eighth Chamber) of 18 July 2007. # Commission of the European Communities v United Kingdom of Great Britain and Northern Ireland. # Failure of a Member State to fulfil obligations - Directive 96/29/Euratom - Protection of the health of workers and the general public against the dangers from ionising radiation - Failure to transpose fully within the prescribed period. # Case C-155/06.,62006CJ0155,,,,,ECLI:EU:C:2007:450,"Euratom matters, Health and safety",,7/18/2007,Court of Justice,,European Court Reports 2007 I-00103*
Judgment of the Court (Sixth Chamber) of 18 July 2007. # Commission of the European Communities v Hellenic Republic. # Failure of a Member State to fulfil obligations - Directive 2004/80/EC - Compensation to crime victims - Failure to transpose within the period prescribed. # Case C-26/07.,62007CJ0026,,,,,ECLI:EU:C:2007:461,General provisions,,7/18/2007,Court of Justice,,European Court Reports 2007 I-00106*
Judgment of the Court (Fifth Chamber) of 18 July 2007. # Commission of the European Communities v Grand Duchy of Luxemburg. # Failure of a Member State to fulfil obligations - Mechanism for monitoring greenhouse gas emissions - Implementation of the Kyoto Protocol. # Case C-61/07.,62007CJ0061,,,,,ECLI:EU:C:2007:463,Environment,,7/18/2007,Court of Justice,,European Court Reports 2007 I-00108*
Judgment of the Court (Sixth Chamber) of 18 July 2007. # Commission of the European Communities v Republic of Austria. # Failure of a Member State to fulfil obligations - Directive 2003/98/EC - Re-use of public sector information - Failure to transpose within the period prescribed. # Case C-517/06.,62006CJ0517,,,,,ECLI:EU:C:2007:460,Industrial policy,,7/18/2007,Court of Justice,,European Court Reports 2007 I-00105*
Judgment of the Court (Sixth Chamber) of 18 July 2007. # Republic of Poland v European Parliament and Council of the European Union. # Directive 2005/36/EC - Recognition of professional qualifications - Nurses responsible for general care - Midwives - Specific provisions applicable to Polish qualifications - Validity - Duty to give reasons - Introduced by Act of Accession. # Case C-460/05.,62005CJ0460,,,,,ECLI:EU:C:2007:447,"Right of establishment, Free movement of workers",,7/18/2007,Court of Justice,,European Court Reports 2007 I-00102*
Judgment of the Court (Sixth Chamber) of 18 July 2007. # Commission of the European Communities v Kingdom of Spain. # Failure of a Member State to fulfil obligations - Directive 2004/24/EC - Pharmaceutical specialities - Traditional herbal medicinal products - Community code - Medicinal products for human use - Failure to transpose within the period prescribed. # Case C-50/07.,62007CJ0050,,,,,ECLI:EU:C:2007:462,Approximation of laws,,7/18/2007,Court of Justice,,European Court Reports 2007 I-00107*
Summary of the Judgment,62007CJ0090_INF,,,,,,,,7/12/2007,Court of Justice,,
Judgment of the Court (Seventh Chamber) of 12 July 2007. # Commission of the European Communities v Kingdom of Belgium. # Failure of a Member State to fulfil obligations - Directive 2004/12/EC - Packaging and packaging waste - Failure to transpose within the prescribed period. # Case C-90/07.,62007CJ0090,,,,,ECLI:EU:C:2007:429,"Waste, Environment",,7/12/2007,Court of Justice,,European Court Reports 2007 I-00098*
Judgment of the Court (Fourth Chamber) of 12 July 2007. # Commission of the European Communities v Republic of Austria. # Failure of a Member State to fulfil obligations - Conservation of wild birds - Directive 79/409/EEC - Measures transposing the directive. # Case C-507/04.,62004CJ0507,,,,,ECLI:EU:C:2007:427,Environment,,7/12/2007,Court of Justice,,European Court Reports 2007 I-05939
Summary of the Judgment,62004CJ0507_SUM,,,,,,,,7/12/2007,Court of Justice,,
Summary of the Judgment,62005CJ0255_SUM,,,,,,,,7/5/2007,Court of Justice,,
"Judgment of the Court (Second Chamber) of 5 July 2007. # Commission of the European Communities v Italian Republic. # Failure of a Member State to fulfil obligations - Assessment of the effects of certain projects on the environment - Waste recovery - Implementation of the ‘third line’ of the Brescia waste incinerator - Publicity for the application for a permit - Directives 75/442/EEC, 85/337/EEC and 2000/76/EC. # Case C-255/05.",62005CJ0255,,,,,ECLI:EU:C:2007:406,"Approximation of laws, Waste, Environment",,7/5/2007,Court of Justice,,European Court Reports 2007 I-05767
"Judgment of the Court (Second Chamber) of 5 July 2007. # Commission of the European Communities v Kingdom of Belgium. # Failure of a Member State to fulfil obligations - Freedom of movement for persons - Freedom of movement for workers - Freedom to provide services - Freedom of establishment - Free movement of capital - Articles 28, 31, 36 and 40 of the Agreement on the European Economic Area - Directive 2002/83/EC - Tax legislation providing for less favourable treatment of contributions to occupational pension schemes paid to insurance undertakings established abroad - Taxation in Belgium of capital and surrender values paid to beneficiaries who have transferred their residence abroad - Tax convention preventing double taxation - Representative responsible. # Case C-522/04.",62004CJ0522,,,,,ECLI:EU:C:2007:405,"Right of establishment, Citizenship of the Union, External relations, European Free Trade Association (EFTA), Free movement of workers, Freedom to provide services",,7/5/2007,Court of Justice,,European Court Reports 2007 I-05701
Summary of the Judgment,62006CJ0145_SUM,,,,,,,,7/5/2007,Court of Justice,,
Summary of the Judgment,62004CJ0522_SUM,,,,,,,,7/5/2007,Court of Justice,,
Summary of the Judgment,62005CJ0327_INF,,,,,,,,7/5/2007,Court of Justice,,
Summary of the Judgment,62006CJ0340_INF,,,,,,,,7/5/2007,Court of Justice,,
Summary of the Judgment,62006CJ0181_SUM,,,,,,,,7/5/2007,Court of Justice,,
Summary of the Judgment,62006CJ0317_INF,,,,,,,,7/5/2007,Court of Justice,,
Summary of the Judgment,62005CJ0321_SUM,,,,,,,,7/5/2007,Court of Justice,,
Summary of the Judgment,62005CJ0430_SUM,,,,,,,,7/5/2007,Court of Justice,,
Judgment of the Court (First Chamber) of 5 July 2007. # Commission of the European Communities v Kingdom of Denmark. # Failure of a Member State to fulfil obligations - Directive 85/374/EEC - Liability for defective products - Liability of the supplier for a defective product. # Case C-327/05.,62005CJ0327,,,,,ECLI:EU:C:2007:409,"Consumer protection, Approximation of laws",,7/5/2007,Court of Justice,,European Court Reports 2007 I-00093*
Judgment of the Court (Seventh Chamber) of 5 July 2007. # Commission of the European Communities v Kingdom of Spain. # Failure of Member State to fulfil obligations - Directive 2002/14/EC - Informing and consulting employees in the European Community - Failure to transpose within the period prescribed. # Case C-317/06.,62006CJ0317,,,,,ECLI:EU:C:2007:415,Social Policy,,7/5/2007,Court of Justice,,European Court Reports 2007 I-00095*
Judgment of the Court (Sixth Chamber) of 5 July 2007. # Commission of the European Communities v Republic of Austria. # Failure of a Member State to fulfil obligations - Directive 2003/4/EC - Public access to environmental information - Failure to transpose within the period prescribed. # Case C-340/06.,62006CJ0340,,,,,ECLI:EU:C:2007:416,Environment,,7/5/2007,Court of Justice,,European Court Reports 2007 I-00096*
Judgment of the Court (Second Chamber) of 5 July 2007. # Deutsche Lufthansa AG v ANA - Aeroportos de Portugal SA. # Reference for a preliminary ruling: Tribunal Administrativo e Fiscal do Porto - Portugal. # Air transport - Airports - Groundhandling - Levying of a fee for ground administration and supervision. # Case C-181/06.,62006CJ0181,,,,,ECLI:EU:C:2007:412,Transport,,7/5/2007,Court of Justice,,European Court Reports 2007 I-05903
Judgment of the Court (Second Chamber) of 28 June 2007. # Commission of the European Communities v Kingdom of Spain. # Failure of a Member State to fulfil obligations - Directive 79/409/EEC - Conservation of wild birds - Special protection areas - IBA 98 - Value - Quality of the data - Criteria - Margin of discretion - Manifest inadequacy as to number and size of areas classified. # Case C-235/04.,62004CJ0235,,,,,ECLI:EU:C:2007:386,Environment,,6/28/2007,Court of Justice,,European Court Reports 2007 I-05415
Judgment of the Court (Seventh Chamber) of 28 June 2007. # Commission of the European Communities v Portuguese Republic. # Failure of Member State to fulfil obligations - Directive 2002/15/EC - Organisation of the working time of persons performing mobile road transport activities - Failure to transpose within the period prescribed. # Case C-410/06.,62006CJ0410,,,,,ECLI:EU:C:2007:401,"Transport, Social Policy",,6/28/2007,Court of Justice,,European Court Reports 2007 I-00091*
"Judgment of the Court (Fourth Chamber) of 28 June 2007. # Planzer Luxembourg Sàrl v Bundeszentralamt für Steuern. # Reference for a preliminary ruling: Finanzgericht Köln - Germany. # Sixth VAT Directive - Article 17(3) and (4) - Refund of VAT - Eighth VAT Directive - Refund of VAT to taxable persons not established inside the country - Articles 3(b) and 9, second paragraph - Annex B - Certificate of status as a taxable person - Legal scope - Thirteenth VAT Directive - Refund of VAT to taxable persons not established in Community territory - Article 1(1) - Concept of ‘business’. # Case C-73/06.",62006CJ0073,,,,,ECLI:EU:C:2007:397,"Value added tax, Taxation",,6/28/2007,Court of Justice,,European Court Reports 2007 I-05655
Summary of the Judgment,62006CJ0001_SUM,,,,,,,,6/28/2007,Court of Justice,,
Judgment of the Court (Third Chamber) of 28 June 2007. # Criminal proceedings against Giovanni Dell'Orto. # Reference for a preliminary ruling: Tribunale di Milano - Italy. # Police and judicial cooperation in criminal matters - Framework Decision 2001/220/JHA -Directive 2004/80/EC- Concept of ‘victim’ in criminal proceedings - Legal person - Return of property seized in the course of criminal proceedings. # Case C-467/05.,62005CJ0467,,,,,ECLI:EU:C:2007:395,Justice and home affairs,,6/28/2007,Court of Justice,,European Court Reports 2007 I-05557
Summary of the Judgment,62005CJ0363_SUM,,,,,,,,6/28/2007,Court of Justice,,
Summary of the Judgment,62005CJ0331_SUM,,,,,,,,6/28/2007,Court of Justice,,
Judgment of the Court (Second Chamber) of 28 June 2007. # Internationaler Hilfsfonds eV v Commission of the European Communities. # Appeal - Non-contractual liability - Causal link - Costs relating to proceedings before the European Ombudsman. # Case C-331/05 P.,62005CJ0331,,,,,ECLI:EU:C:2007:390,"Provisions governing the Institutions, Non-contractual liability",,6/28/2007,Court of Justice,,European Court Reports 2007 I-05475
Judgment of the Court (Third Chamber) of 28 June 2007. # Bonn Fleisch Ex- und Import GmbH v Hauptzollamt Hamburg-Jonas. # Reference for a preliminary ruling: Finanzgericht Hamburg - Germany. # Agriculture - System of export refunds on agricultural products - Regulation (EEC) No 3665/87 - Furnishing of proof of export of the products - Production of equivalent proof - Article 47(3) - Recognition by the authorities of their own motion as equivalent proof of documents not accompanied by an express reasoned request for them to be regarded as equivalent - Not applicable to direct export - National procedural rules - Obligations of the competent national authorities. # Case C-1/06.,62006CJ0001,,,,,ECLI:EU:C:2007:396,"Agriculture and Fisheries, Monetary measures in the field of agriculture",,6/28/2007,Court of Justice,,European Court Reports 2007 I-05609
Summary of the Judgment,62005CJ0467_SUM,,,,,,,,6/28/2007,Court of Justice,,
Summary of the Judgment,62006CJ0410_INF,,,,,,,,6/28/2007,Court of Justice,,
Summary of the Judgment,62003CJ0466_SUM,,,,,,,,6/28/2007,Court of Justice,,
Summary of the Judgment,62004CJ0235_SUM,,,,,,,,6/28/2007,Court of Justice,,
Summary of the Judgment,62006CJ0073_SUM,,,,,,,,6/28/2007,Court of Justice,,
"Judgment of the Court (Grand Chamber) of 26 June 2007. # Hutchison 3G UK Ltd and Others v Commissioners of Customs and Excise. # Reference for a preliminary ruling: VAT and Duties Tribunal, London - United Kingdom. # Sixth VAT Directive - Taxable transactions - Definition of ‘economic activity’ - Article 4(2) - Allocation of licences making it possible to use a defined part of the radio-frequency spectrum reserved for telecommunications services. # Case C-369/04.",62004CJ0369,,,,,ECLI:EU:C:2007:382,"Value added tax, Taxation",,6/26/2007,Court of Justice,,European Court Reports 2007 I-05247
Summary of the Judgment,62004CJ0369_SUM,,,,,,,,6/26/2007,Court of Justice,,
Summary of the Judgment,62004CJ0284_SUM,,,,,,,,6/26/2007,Court of Justice,,
Summary of the Judgment,62005CJ0305_SUM,,,,,,,,6/26/2007,Court of Justice,,
Judgment of the Court (Third Chamber) of 21 June 2007. # Commission of the European Communities v Sonja Hosman-Chevalier. # Appeal - Remuneration - Expatriation allowance - Condition laid down by Article 4(1)(a) of Annex VII to the Staff Regulations - Concept of ‘work done for another State’. # Case C-424/05 P.,62005CJ0424,,,,,ECLI:EU:C:2007:367,Staff regulations and employment conditions - EC,,6/21/2007,"Court of Justice, Mengozzi",,"European Court Reports – Staff Cases 2007 II-B-2-00127, European Court Reports 2007 I-05027;FP-I-B-2-00013"
Judgment of the Court (First Chamber) of 21 June 2007. # Criminal proceedings against Omni Metal Service. # Reference for a preliminary ruling: Rechtbank te Rotterdam - Netherlands. # Regulation (EEC) No 259/93 - Waste - Cables composed of copper and PVC - Export to China for purposes of recovery - Heading GC 020 - Mixed waste - Combination of two materials mentioned in the green list of wastes - Such mixed waste not included on the green list - Consequences. # Case C-259/05.,62005CJ0259,,,,,ECLI:EU:C:2007:363,"Waste, Environment",,6/21/2007,Court of Justice,,European Court Reports 2007 I-04945
Judgment of the Court (First Chamber) of 21 June 2007. # Office national des pensions v Emilienne Jonkman (C-231/06) and Hélène Vercheval (C-232/06) and Noëlle Permesaen v Office national des pensions (C-233/06). # Reference for a preliminary ruling: Cour du travail de Bruxelles - Belgium. # Equal treatment for men and women - Statutory pension scheme -Directive 79/7/EEC - Air hostesses - Grant of a pension equal to that of stewards - Payment of adjustment contributions in a single payment - Interest payments - Principle of effectiveness - Obligations on a Member State as a result of a preliminary ruling. # Joined cases C-231/06 to C-233/06.,62006CJ0231,,,,,ECLI:EU:C:2007:373,Social Policy,,6/21/2007,Court of Justice,,European Court Reports 2007 I-05149
Summary of the Judgment,62005CJ0173_SUM,,,,,,,,6/21/2007,Court of Justice,,
"Judgment of the Court (Fourth Chamber) of 21 June 2007. # Optimus - Telecomunicações SA v Fazenda Pública. # Reference for a preliminary ruling: Supremo Tribunal Administrativo - Portugal. # Indirect taxes on the raising of capital - Directive 69/335/EEC, as amended by Directive 85/303/EEC - Article 7(1) - Capital duty - Exemption - Conditions - Situation as at 1 July 1984. # Case C-366/05.",62005CJ0366,,,,,ECLI:EU:C:2007:366,"Taxation, Indirect taxation",,6/21/2007,Court of Justice,,European Court Reports 2007 I-04985
Judgment of the Court (Eighth Chamber) of 21 June 2007. # Firma Laub GmbH & Co. Vieh & Fleisch Import-Export v Hauptzollamt Hamburg-Jonas. # Reference for a preliminary ruling: Finanzgericht Hamburg - Germany. # Export refunds - Regulation (EEC) No 3665/87 - Definition of ‘undue payment of a refund’ - Payment of a refund on the basis of incomplete documentation - Possibility of completing the documents relating to the payment of the refund after the expiry of the periods referred to in Articles 47(2) and 48(2)(a) of Regulation (EEC) No 3665/87 in the context of a subsequent recovery procedure. # Case C-428/05.,62005CJ0428,,,,,ECLI:EU:C:2007:368,"Monetary measures in the field of agriculture, Agriculture and Fisheries",,6/21/2007,Court of Justice,,European Court Reports 2007 I-05069
Summary of the Judgment,62006CJ0392_INF,,,,,,,,6/21/2007,Court of Justice,,
Summary of the Judgment,62005CJ0259_SUM,,,,,,,,6/21/2007,Court of Justice,,
Summary of the Judgment,62006CJ0158_SUM,,,,,,,,6/21/2007,Court of Justice,,
Summary of the Judgment,62005CJ0366_SUM,,,,,,,,6/21/2007,Court of Justice,,
Summary of the Judgment,62005CJ0453_SUM,,,,,,,,6/21/2007,Court of Justice,,
Summary of the Judgment,62005CJ0424_SUM,,,,,,,,6/21/2007,Court of Justice,,
Summary of the Judgment,62006CJ0231_SUM,,,,,,,,6/21/2007,Court of Justice,,
Judgment of the Court (First Chamber) of 21 June 2007. # Stichting ROM-projecten v Staatssecretaris van Economische Zaken. # Reference for a preliminary ruling: College van Beroep voor het bedrijfsleven - Netherlands. # Structural funds - Repayment of Community aid in the case of irregularity - Failure to publish or make known the conditions of grant of the aid - Beneficiary’s lack of knowledge - Good faith - Legal certainty - Effectiveness -Article 10 EC. # Case C-158/06.,62006CJ0158,,,,,ECLI:EU:C:2007:370,"economic, social and territorial cohesion, Principles, objectives and tasks of the Treaties, European Regional Development Fund (ERDF), European Social Fund (ESF)",,6/21/2007,Court of Justice,,European Court Reports 2007 I-05103
Summary of the Judgment,62005CJ0358_INF,,,,,,,,6/21/2007,Court of Justice,,
Summary of the Judgment,62005CJ0428_SUM,,,,,,,,6/21/2007,Court of Justice,,
Summary of the Judgment,62006CJ0339_INF,,,,,,,,6/21/2007,Court of Justice,,
Judgment of the Court (Eighth Chamber) of 21 June 2007. # Commission of the European Communities v Kingdom of Spain. # Failure of a Member State to fulfil obligations - Directive 2003/54/EC - Internal market in electricity - Failure to transpose within the period prescribed. # Case C-358/05.,62005CJ0358,,,,,ECLI:EU:C:2007:365,"Energy, Approximation of laws, Right of establishment, Freedom to provide services",,6/21/2007,Court of Justice,,European Court Reports 2007 I-00088*
Judgment of the Court (Eighth Chamber) of 21 June 2007. # Commission of the European Communities v Italian Republic. # Failure of a Member State to fulfil obligations - Directive 2004/116/EC - Annex to Directive 92/471/EEC - Animal feed - Candida guilliermondii - Failure to transpose within the period prescribed. # Case C-339/06.,62006CJ0339,,,,,ECLI:EU:C:2007:375,"Animal feedingstuffs, Agriculture and Fisheries",,6/21/2007,Court of Justice,,European Court Reports 2007 I-00089*
Judgment of the Court (Sixth Chamber) of 21 June 2007. # Commission of the European Communities v Kingdom of Spain. # Failure of a Member State to fulfil obligations - Directive 2002/15/EC - Organisation of the working time of persons performing mobile road transport activities - Failure to transpose within the period prescribed. # Case C-392/06.,62006CJ0392,,,,,ECLI:EU:C:2007:376,"Social Policy, Transport",,6/21/2007,Court of Justice,,European Court Reports 2007 I-00090*
Summary of the Judgment,62005CJ0422_SUM,,,,,,,,6/14/2007,Court of Justice,,
Summary of the Judgment,62006CJ0082_INF,,,,,,,,6/14/2007,Court of Justice,,
Judgment of the Court (Second Chamber) of 14 June 2007. # Commission of the European Communities v Republic of Finland. # Failure of a Member State to fulfil its obligations - Directive 92/43/EEC - Conservation of natural habitats - Wild fauna and flora - Wolf hunting. # Case C-342/05.,62005CJ0342,,,,,ECLI:EU:C:2007:341,Environment,,6/14/2007,Court of Justice,,European Court Reports 2007 I-04713
Summary of the Judgment,62006CJ0064_SUM,,,,,,,,6/14/2007,Court of Justice,,
Summary of the Judgment,62006CJ0321_INF,,,,,,,,6/14/2007,Court of Justice,,
Summary of the Judgment,62005CJ0342_SUM,,,,,,,,6/14/2007,Court of Justice,,
Summary of the Judgment,62005CJ0006_SUM,,,,,,,,6/14/2007,Court of Justice,,
Summary of the Judgment,62006CJ0333_INF,,,,,,,,6/14/2007,Court of Justice,,
Summary of the Judgment,62005CJ0148_INF,,,,,,,,6/14/2007,Court of Justice,,
Judgment of the Court (Third Chamber) of 14 June 2007. # Commission of the European Communities v United Kingdom of Great Britain and Northern Ireland. # Failure of a Member State to fulfil obligations - Social policy - Protection of the safety and health of workers - Directive 89/391/EEC - Article 5(1) - Employer’s duty to ensure the safety and health of workers in every aspect related to the work - Employer’s liability. # Case C-127/05.,62005CJ0127,,,,,ECLI:EU:C:2007:338,Social Policy,,6/14/2007,Court of Justice,,European Court Reports 2007 I-04619
Summary of the Judgment,62005CJ0445_SUM,,,,,,,,6/14/2007,Court of Justice,,
Summary of the Judgment,62006CJ0056_SUM,,,,,,,,6/14/2007,Court of Justice,,
Judgment of the Court (Third Chamber) of 14 June 2007. # Commission of the European Communities v Kingdom of Belgium. # Failure of a Member State to fulfil obligations - Directive 2002/30/EC - Air transport - Noise-related operating restrictions at Community airports - Adoption by a Member State of a measure liable seriously to compromise the result prescribed by the directive during the transposition period. # Case C-422/05.,62005CJ0422,,,,,ECLI:EU:C:2007:342,"Principles, objectives and tasks of the Treaties, Transport, Provisions governing the Institutions",,6/14/2007,Court of Justice,,European Court Reports 2007 I-04749
Summary of the Judgment,62005CJ0127_SUM,,,,,,,,6/14/2007,Court of Justice,,
Summary of the Judgment,62005CJ0246_SUM,,,,,,,,6/14/2007,Court of Justice,,
Summary of the Judgment,62005CJ0434_SUM,,,,,,,,6/14/2007,Court of Justice,,
Judgment of the Court (Seventh Chamber) of 14 June 2007. # Commission of the European Communities v Grand Duchy of Luxemburg. # Failure of a Member State to fulfil obligations - Directive 2002/14/EC - Informing and consulting employees - Failure to transpose within the period prescribed. # Case C-321/06.,62006CJ0321,,,,,ECLI:EU:C:2007:350,Social Policy,,6/14/2007,Court of Justice,,European Court Reports 2007 I-00085*
Judgment of the Court (Sixth Chamber) of 14 June 2007. # Commission of the European Communities v Kingdom of Sweden. # Failure of a Member State to fulfil obligations - Regulation (EC) No 261/2004 - Air transport - Denied boarding and cancellation or long delays of flights - Compensation and assistance to passengers - Adoption of sanctions. # Case C-333/06.,62006CJ0333,,,,,ECLI:EU:C:2007:351,Transport,,6/14/2007,Court of Justice,,European Court Reports 2007 I-00086*
Judgment of the Court (Third Chamber) of 12 June 2007. # Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM) v Shaker di L. Laudato & C. Sas. # Appeal - Community trade mark - Regulation (EC) No 40/94 - Article 8(1)(b) - Likelihood of confusion - Application for a figurative Community trade mark with the word elements ‘Limoncello della Costiera Amalfitana’ and ‘shaker’ - Opposition by the proprietor of the national word mark LIMONCHELO. # Case C-334/05 P.,62005CJ0334,,,,,ECLI:EU:C:2007:333,"Trade marks, Intellectual, industrial and commercial property",,6/12/2007,Court of Justice,,European Court Reports 2007 I-04529
Summary of the Judgment,62005CJ0334_SUM,,,,,,,,6/12/2007,Court of Justice,,
"Judgment of the Court (Fourth Chamber) of 7 June 2007. # Britannia Alloys & Chemicals Ltd v Commission of the European Communities. # Appeals - Competition - Agreements, decisions and concerted practices - Fines - ‘Preceding business year’ for determining the turnover on which the calculation of the fine is based. # Case C-76/06 P.",62006CJ0076,,,,,ECLI:EU:C:2007:326,"Competition, Agreements, decisions and concerted practices, Concerted practices",,6/7/2007,Court of Justice,,European Court Reports 2007 I-04405
Judgment of the Court (Fourth Chamber) of 7 June 2007. # Jacques Wunenburger v Commission of the European Communities. # Appeals - Staff cases - Promotion - Selection procedure - Rejection of the appellant’s candidature - Retirement in the interests of the service - Obligation to state the reasons on which the decision is based - Error of law - Cross-appeal - Subject-matter of the dispute - Interest in bringing proceedings. # Case C-362/05 P.,62005CJ0362,,,,,ECLI:EU:C:2007:322,Staff regulations and employment conditions - EC,,6/7/2007,"Kokott, Court of Justice",,"European Court Reports – Staff Cases 2007 II-B-2-00101, European Court Reports 2007 I-04333;FP-I-B-2-00009"
"Judgment of the Court (First Chamber) of 7 June 2007. # Řízení Letového Provozu ČR, s. p. v Bundesamt für Finanzen. # Reference for a preliminary ruling: Finanzgericht Köln - Germany. # Thirteenth VAT Directive - Article 2(2) - GATS - Most-favoured-nation clause - Interpretation of secondary Community law in the light of international agreements concluded by the Community. # Case C-335/05.",62005CJ0335,,,,,ECLI:EU:C:2007:321,"Value added tax, Taxation, General Agreement on Tariffs and Trade (GATT), External relations, Commercial policy",,6/7/2007,Court of Justice,,European Court Reports 2007 I-04307
Judgment of the Court (Fourth Chamber) of 7 June 2007. # Commission of the European Communities v Kingdom of Belgium. # Failure of a Member State to fulfil obligations - Articles 28 EC and 30 EC - Quantitative restrictions on imports - Measures having equivalent effect - Automatic fire detection systems with point detectors - Requirement of conformity to a national standard - National approval procedure. # Case C-254/05.,62005CJ0254,,,,,ECLI:EU:C:2007:319,"Quantitative restrictions, Measures having equivalent effect, Free movement of goods",,6/7/2007,Court of Justice,,European Court Reports 2007 I-04269
"Judgment of the Court (First Chamber) of 7 June 2007. # Commission of the European Communities v Hellenic Republic. # Failure of a Member to fulfil obligations - Directive 69/335/EEC - Indirect taxes on the raising of capital - Capital duty - Exhaustive harmonisation - National legislation providing for taxation of any transfer of the effective centre of management or registered office, in so far as the company concerned is not subject to capital duty in the Member State of origin - National legislation under which agricultural cooperative organisations, and associations or consortia thereof of any kind, are exempted from the tax - National legislation under which co-ownership of vessels, shipping consortia and any form of shipping company are exempted from the tax - Prevention of tax avoidance - Abuse of rights - Limitation of the temporal effects of a judgment. # Case C-178/05.",62005CJ0178,,,,,ECLI:EU:C:2007:317,"Indirect taxation, Taxation",,6/7/2007,Court of Justice,,European Court Reports 2007 I-04185
Summary of the Judgment,62006CJ0080_SUM,,,,,,,,6/7/2007,Court of Justice,,
Summary of the Judgment,62005CJ0222_SUM,,,,,,,,6/7/2007,Court of Justice,,
Summary of the Judgment,62006CJ0278_SUM,,,,,,,,6/7/2007,Court of Justice,,
